datetime,open,high,low,close,volume
1.64195E+12,1060.2,1060.2,1060.2,1060.2,100
1.64195E+12,1059.7,1059.7,1059,1059,1930
1.64195E+12,1059.03,1059.5,1059,1059.5,3941
1.64195E+12,1059.5,1059.5,1059.5,1059.5,100
1.64195E+12,1059.49,1059.5,1059.49,1059.5,380
1.64195E+12,1059.63,1059.69,1059.49,1059.69,1647
1.64195E+12,1059.5,1059.5,1059.12,1059.12,5906
1.64195E+12,1059.12,1059.4,1059.12,1059.16,302
1.64195E+12,1059.3,1059.3,1059.3,1059.3,200
1.64195E+12,1059.3,1059.39,1059.3,1059.39,327
1.64195E+12,1059.3,1059.3,1059,1059.3,1580
1.64195E+12,1058.98,1059,1058.98,1058.98,769
1.64195E+12,1058.98,1059.3,1058.57,1059,2285
1.64198E+12,1058.9,1060.22,1058,1059,1507
1.64198E+12,1061.01,1061.01,1061,1061,300
1.64198E+12,1063.25,1063.25,1063.25,1063.25,800
1.64198E+12,1064,1064,1064,1064,100
1.64198E+12,1063,1063,1062.5,1062.5,1097
1.64198E+12,1063.63,1063.88,1063.63,1063.88,812
1.64198E+12,1062.8,1062.8,1062.8,1062.8,100
1.64198E+12,1063.5,1063.5,1063.5,1063.5,125
1.64198E+12,1066,1066,1066,1066,288
1.64198E+12,1066.79,1067,1066.79,1067,502
1.64198E+12,1068,1068,1068,1068,200
1.64198E+12,1066.99,1066.99,1066.99,1066.99,100
1.64198E+12,1066.99,1066.99,1066.94,1066.94,237
1.64198E+12,1066.94,1066.94,1066.94,1066.94,200
1.64198E+12,1066.5,1066.5,1066.5,1066.5,100
1.64198E+12,1067.04,1067.04,1067.04,1067.04,100
1.64198E+12,1067.99,1067.99,1067.99,1067.99,120
1.64198E+12,1069,1069,1069,1069,275
1.64198E+12,1069.44,1069.44,1069.44,1069.44,250
1.64198E+12,1070,1070,1070,1070,231
1.64198E+12,1070.48,1070.48,1070.48,1070.48,150
1.64198E+12,1069.47,1069.47,1069,1069,617
1.64198E+12,1070,1070,1070,1070,185
1.64198E+12,1069,1069,1069,1069,875
1.64198E+12,1069,1069,1069,1069,325
1.64198E+12,1069,1069,1069,1069,129
1.64198E+12,1069,1069,1069,1069,176
1.64198E+12,1071,1071,1071,1071,197
1.64198E+12,1071,1071,1071,1071,103
1.64198E+12,1069.5,1069.5,1069.42,1069.42,512
1.64198E+12,1069,1069,1069,1069,351
1.64198E+12,1070,1070,1070,1070,187
1.64198E+12,1069.9,1069.9,1069.9,1069.9,208
1.64198E+12,1070.25,1070.25,1070.25,1070.25,300
1.64198E+12,1070.01,1070.01,1070.01,1070.01,109
1.64198E+12,1069.69,1069.69,1069.69,1069.69,100
1.64199E+12,1068,1068,1068,1068,100
1.64199E+12,1066.65,1066.65,1066.5,1066.5,479
1.64199E+12,1067,1067,1067,1067,411
1.64199E+12,1067.5,1067.5,1067.5,1067.5,306
1.64199E+12,1068,1068.5,1067.95,1068.5,1038
1.64199E+12,1068.5,1068.5,1068.5,1068.5,123
1.64199E+12,1068.5,1068.5,1068.5,1068.5,472
1.64199E+12,1069,1069,1069,1069,130
1.64199E+12,1068.99,1068.99,1068.99,1068.99,116
1.64199E+12,1067.39,1067.39,1067,1067,209
1.64199E+12,1068,1068.36,1067.08,1068.36,1526
1.64199E+12,1067.8,1068.3,1067.5,1068.3,3135
1.64199E+12,1068.5,1069.99,1068.31,1069.99,5509
1.64199E+12,1069.79,1069.79,1068,1068.06,731
1.64199E+12,1068.5,1068.5,1067.6,1068,986
1.64199E+12,1067.5,1067.9,1067,1067.02,1372
1.64199E+12,1066.6,1066.6,1066,1066,200
1.64199E+12,1066,1066,1065,1065,773
1.64199E+12,1065.35,1066,1065.35,1066,410
1.64199E+12,1066,1066,1065.7,1066,420
1.64199E+12,1066.1,1066.1,1065,1065.4,771
1.64199E+12,1066.15,1066.15,1065.21,1065.21,500
1.64199E+12,1065.12,1065.12,1065.12,1065.12,100
1.64199E+12,1066,1066,1066,1066,188
1.64199E+12,1065.98,1066.25,1065.98,1066.25,299
1.64199E+12,1065.5,1065.5,1065.5,1065.5,189
1.64199E+12,1065,1065,1065,1065,241
1.64199E+12,1065.54,1065.54,1065.54,1065.54,155
1.64199E+12,1066.6,1067,1066.6,1067,750
1.64199E+12,1066.56,1066.56,1066.56,1066.56,225
1.64199E+12,1066,1066,1066,1066,925
1.64199E+12,1066,1066,1066,1066,340
1.64199E+12,1066.76,1066.76,1066.76,1066.76,144
1.64199E+12,1067.3,1067.7,1067.3,1067.7,200
1.64199E+12,1066.77,1066.77,1066.77,1066.77,100
1.64199E+12,1067.7,1067.7,1067.7,1067.7,100
1.64199E+12,1067.91,1067.94,1067.91,1067.94,398
1.64199E+12,1067.16,1067.16,1067.16,1067.16,135
1.64199E+12,1067.25,1067.25,1067.25,1067.25,413
1.64199E+12,1067.3,1067.44,1067.3,1067.44,500
1.64199E+12,1067.55,1067.55,1067.48,1067.5,1890
1.64199E+12,1067,1067,1067,1067,300
1.64199E+12,1067,1067,1067,1067,100
1.64199E+12,1066.35,1066.69,1066.35,1066.69,425
1.64199E+12,1067,1067.04,1067,1067.04,530
1.64199E+12,1067,1067,1067,1067,100
1.64199E+12,1066.99,1067,1066.99,1067,390
1.64199E+12,1067.05,1067.5,1067,1067.5,1124
1.64199E+12,1067,1067,1066,1066,1692
1.64199E+12,1066.2,1066.5,1066.2,1066.5,4053
1.64199E+12,1065.69,1065.69,1065.69,1065.69,100
1.64199E+12,1065.5,1065.5,1065,1065,658
1.64199E+12,1065.5,1065.5,1065.5,1065.5,532
1.64199E+12,1066.4,1066.4,1065.5,1065.5,679
1.64199E+12,1065.8,1065.8,1065.8,1065.8,432
1.64199E+12,1065.8,1066.98,1065.8,1066.98,2041
1.64199E+12,1066.7,1066.7,1066.7,1066.7,441
1.64199E+12,1066,1066,1065.99,1065.99,242
1.64199E+12,1066,1066,1065.49,1065.49,1662
1.64199E+12,1066,1066,1065,1065,570
1.64199E+12,1065.05,1065.05,1065.05,1065.05,500
1.64199E+12,1065.1,1065.1,1065,1065,200
1.64199E+12,1065.51,1065.51,1065.51,1065.51,100
1.64199E+12,1066,1066,1066,1066,100
1.64199E+12,1066,1066,1066,1066,399
1.64199E+12,1066.5,1066.5,1066.5,1066.5,362
1.64199E+12,1066.93,1066.94,1066.5,1066.5,424
1.64199E+12,1066.2,1066.2,1066,1066.03,517
1.64199E+12,1066.21,1066.21,1066.21,1066.21,100
1.64199E+12,1066.66,1067.01,1066.45,1067.01,1576
1.64199E+12,1067.31,1067.31,1067.31,1067.31,100
1.64199E+12,1067.16,1067.16,1067.16,1067.16,500
1.64199E+12,1066.9499,1066.9499,1066.5,1066.5,461
1.64199E+12,1066.25,1066.25,1066,1066,300
1.64199E+12,1065.5,1069.5,1065,1067.9,5325
1.64199E+12,1066.21,1068.69,1065,1068.4,7097
1.64199E+12,1068.98,1069.1,1067.62,1069.01,5138
1.64199E+12,1070,1070.45,1068.13,1068.13,7810
1.64199E+12,1068.88,1068.88,1068.88,1068.88,378
1.64199E+12,1069.4,1071,1069.4,1071,2273
1.64199E+12,1072,1074.11,1071.9201,1073.95,6642
1.64199E+12,1073.97,1078,1073.76,1076.29,16439
1.64199E+12,1076.8299,1078,1075.99,1077.94,7497
1.64199E+12,1077.99,1078.5,1077,1077.5,2368
1.64199E+12,1077.85,1079.49,1077.28,1079,5817
1.64199E+12,1078.96,1079.49,1078,1079.48,2873
1.64199E+12,1078.6,1078.77,1077.4,1078.5,3967
1.64199E+12,1078.9,1079.49,1078.41,1079,4015
1.642E+12,1078.81,1079,1077.01,1077.01,1424
